Cycle_Index,Step_Index,Test_Time_s,Current_A,Voltage_V,Temperature_C
0,2,551.05,0.1123064,4.200046,11.46369
0,2,552.05,0.1118486,4.199893,11.46369
0,2,553.05,0.1127642,4.19974,11.46369
0,2,554.05,0.112459,4.19974,11.44666
0,2,555.05,0.1115434,4.199893,11.44666
0,2,556.05,0.1115434,4.200046,11.44666
0,2,557.05,0.1126116,4.200046,11.44666
0,2,558.05,0.111696,4.200046,11.44666
0,2,559.05,0.1112383,4.200046,11.44666
0,2,560.05,0.1115434,4.200046,11.44666
0,2,561.05,0.1109331,4.199893,11.44666
0,2,562.05,0.1110857,4.200046,11.44666
0,2,563.05,0.1110857,4.200046,11.44666
0,2,564.05,0.1107805,4.200046,11.46369
0,2,565.05,0.1104753,4.199893,11.46369
0,2,566.05,0.1107805,4.199893,11.46369
0,2,567.05,0.1097124,4.199893,11.46369
0,2,568.05,0.1092546,4.200046,11.46369
0,2,569.05,0.1092546,4.199893,11.46369
0,2,570.05,0.1100175,4.199893,11.44666
0,2,571.05,0.1097124,4.200046,11.44666
0,2,572.05,0.1089494,4.199893,11.44666
0,2,573.05,0.1086442,4.19974,11.44666
